Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,70,-43.5,0,top
C2,0.1uF,C_0402_1005Metric,70,-44.5,0,top
C3,0.1uF,C_0402_1005Metric,69.98,-45.5,0,top
C4,10uF,C_0402_1005Metric,66.8,-34.98,90,top
C5,0.1uF,C_0402_1005Metric,71.5,-45.32,90,top
C6,0.1uF,C_0402_1005Metric,72,-41.8,0,top
C7,0.1uF,C_0402_1005Metric,70,-42.5,180,top
C8,0.1uF,C_0402_1005Metric,71.5,-43.3,90,top
C9,0.1uF,C_0402_1005Metric,66.7,-40.9,90,top
C10,0.1uF,C_0402_1005Metric,70.98,-46.8,0,top
C11,0.1uF,C_0402_1005Metric,70,-41.5,180,top
C13,10uF,C_0201_0603Metric,62.8,-29.3,0,top
C14,10uF,C_0201_0603Metric,65.1,-33.6,90,top
C15,33pF,C_0402_1005Metric,62.6,-58,180,top
C16,33pF,C_0402_1005Metric,62.6,-56.03,180,top
C17,0.1uF,C_0402_1005Metric,61.1,-40.5,0,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,66.25,-23.25,180,top
R1,5.1k,R_0402_1005Metric,68,-29.6,-90,top
R2,5.1k,R_0402_1005Metric,64.6,-29.6,-90,top
R3,27,R_0402_1005Metric,65.7,-29.6,-90,top
R4,27,R_0402_1005Metric,67,-29.6,-90,top
R5,1k,R_0402_1005Metric,65.7,-56.1,0,top
R6,10k,R_0402_1005Metric,63.1,-41.25,180,top
R7,1k,R_0402_1005Metric,65.2,-40.5,0,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,64.5,-38.2,0,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,66.25,-50.25,0,top
U3,W25Q128JVS,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,64.4,-43,0,top
U4,MCP1700x-330xxTT,SOT-23,63.1,-31.9375,90,top
Y1,12 MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,66,-59.35,0,top
